content,score
draf di benerin monton renk tertinggi ga seibng,1
Ngasih tim ga pernah bener ..perbaiki lagi moonton statistik gamenya,1
Okedah,4
tolong perbaiki jangan leg mulu,1
Kereenn,5
Game gk jelas ful dark sistem lolok,1
Masok,5
Game ini Demi banget,5
Lebih baik,5
Jangan download game ini nanti nyesal sama dengan gue Game haram nyesal klw Download Sumpah nyesal banget klw kalian download gema ini Montoon ngk adil sumpah,1
Mantap,5
obat gabut,5
Ngga seimbang matchmakingnya,1
Setelah di update sering nge lag,5
"Dark System dan system penilaian terlalu parah kawan, hahaha....maen dari season 1 sampe season 30, dan sepertinya sudah saatnya uninstal. terimakasih telah menjadi hiburan selama ini.",1
Sangat bagus,5
Super Excellent,5
👍👍👍👍👍,5
ok,4
Tolong di kasi lagi offlinenya ☺️,5
baik,5
"Jangan terlalu berat gamenya bg, karna belum ada uang buat beli hp yg lebih bagus lagi",5
Okeee,5
"Hapus aja game nya ga guna niat pus,,ditrol trusss",1
Bagus,5
Mantap bettt,5
game bego,1
"Di kasi los strik terus jadi mls main tim musuh hebat tim saya trol,tolong di beri musuh yg sepadan",1
Kenapa saya Slalu di gabungin sama tim poke. Makasih,3
Mantapp semakin lama ml ini smeakin bgus,5
Bgssst sinyal server nya di perbaiki dong,5
TDK ada pelanggaran tiba tiba dihukum Tampa kesalahan,5
gk bakal gw pernah download game ini lagi sampe mati. ( game cacat),1
bagus,5
Good,5
Mantap sekali,4
"Heran aja kenapa setiap kali main selalu dapet tim nob, nah ketemu lawan yg udah pro Ini yang salah hp apa pihak moonton sihh, tolong dong moonton new player lebih di perhatiin lagi yg udah lama main ujung² bisa bosan juga lo, moonton tolol aplikasi ga jelas tolol tolol tolol",1
"Kok sering lag yaa ,jadi afk trus nih min...?",4
Ok,3
Bagus,5
KECEWA DENGAN NATALIA KU,4
Sangat baguss tolong mod dyrot di kembalikan lgi seperti dulu,5
terbaik,5
Bagus kena nerf terus,5
game gg,5
"Banyak batang ga guna, team berbatang ber skin bagus tapi akun gendongan",1
"makin kesini makin oke grafiknya keseluruhan nya juga, hanya saja setingan grafil di samsung m31 belum dapat grafik ultra",5
"Pagi maen masih normal. Pas malam ON, Ini kenapa kok tiba² ulang lagi dari awal buka ML.. padahal maen uda dari S3 ..sungguh mengecewakan.. Akun di kaitkan juga tak bisa,",4
Terbaik,5
"Lanjuuttkaan,,,,Laanjuuttkaan.",5
game ajng,1
Keren,5
Good,5
Sekali lagi masalah ping .main pubg lancar kok ML patah ya . maaf turun 1 bintang . makasi,5
Bagus ... Tapi masih bnyak bug,4
sangat baik,5
Good game,5
Bagusss,4
Puas sich game MLLB ini sudah lama mainnya,5
GAME JELEK SPIN GA PERNAH HOKI MINIMAL KASIH HOKI LA SKIN LEGEND ATO DUCATI KEK SPIN SL HAMPIR 1K DM GA DPT APA 2 JANCOOOK,1
Error,1
hehe,2
Ok,5
Ok,5
God job,4
Mantap,5
Game rusak,1
Game Ampas,1
okay,5
tolong kembalikan level keakraban seperti semula walaupun pernah di unfollow tetapi di follow lagi,1
jaringan ancur . pdhal sinyal penuh.. payahhhh game laknat match gg seimbang.. parah..,1
kalo ngasih musuh yg seimbang ngentod,1
good,5
Sangat bagus,5
Buat seru²an ok,4
Dark syistem MOONTON aktif jadi susah. Main sering defeat terus. Sistem,2
Bagus,5
"Upgrade bukanya makin bagus, malahan lagakin parah.",3
Bagus,5
Sangat baik,5
Kenp gk bisa masuk sih padahl udh di update,4
Mantap,5
Leg banget ihhhhhhh,1
Amazing,5
Cukup Komen Aja sip,4
Bagusss,5
"When playing games, the teams are always unbalanced, especially when it comes to signals when playing, they always get bad signal conditions, especially when there is a war.",1
Sangat baik,5
Ashiap,5
Mantap,5
Bagus walau main sering frustasi,5
keseringan bug,1
Ya begitulah,3
Game nya seru dan menantang,5
"tim terlalu bodoh dalam bertindak,tidak berpengalaman,tidak ramah,tidak bisa bermain,mending suruh maen pou aja biar laris",1
Belajar mlbb,5
Game kontoll.makin lama mkin kyk puki sistem ny,1
Keren,5
Game dongoo,1
Game lol dapet tim kagak pernah bener,1
Belom top global mah blom bagus keren,5
sekarang ml sering lag pke wifi mau pun signal full ijo 65ms msh lag parah makin lama makin jengkelin,5
Ok,5
Mengibur,5
Gamenya oke lah gada yang toxic Alhamdulillah gada yang ngebacotin tapi knp game ini bisa bikin stres ya? Monton kalo kasi tim itu yang bener lah masa dpt tim epik sedangkan rank saya lagend bisa2 lagend abadi ini kalo di kasi tim epik semua,5
"Dahlah ,udah nggk asik lagi nih game🖕",1
Game babi,3
Semoga makin banyak yg ninggalin game ini.,1
Bagus,5
GAME BAGUSS,5
Darksystem🔥,3
tolong jangan sering ngelag,5
"Mantap, walau pun bikin kesal sama player epic",5
permainan paling w suka and g akan bosan sampai kapan pun,5
hai monton kasih musuh yg gampang ke aku cape udah 5 bulan di epik terus capek naik turun naik turun plis lah monton kasih musuh yg gampang ya,1
Good job,5
Ok,5
Mantap,5
Seru abis bareng mlbb makin mempererat silaturahmi karena sefrekuensi juga,5
Oke mantap,4
Gamenya sangat bagus dan event nya juga pada keren keren poooollllllll,5
Keren,5
"Sistem nya makin lama gamasuk akal, keseimbangan tim buruk sekali, main dari 2018 paling parah season ini",1
"Semakin ksini moonton gk ada perubahan untuk tim macthing. Player ngtrol, player yg gk bisa main, player toxic semakin banyak. Semakin ksini bukannya tambah seneng main game ini, yang ada males soalnya takut ketemu tim yg gk sepadan. Kurangnya memberikan kenyamanan buat yg sudah download game ini, mgkannya semakin ksini rating bukannya makin bagus eh malah turun jauh bgt. Itu karna kalian sendiri yg punya sistem kurang ketat buat nentuin macthing !!!",1
Sinyal buruk,5
"Games seru dan memuaskan untuk kekosongan hati galau, yang penting sangat seru",5
"Moonton gk jelas,ban seenaknya anjg",1
"Monton goblock sinyal bagus,menyambung kan dalam game lama banget asu !!!",1
Baguss,5
Good,3
Gassss,5
Dapet tim gak jelas Rank saya honor jadi lengend lagi cape di troll mulu sama bocah epic,1
Bagus,5
Di perbaiki lagi masalah laporan. Masa iya seenak jidat ngurangin kredit skor. Parah moonton.,1
Good,5
oke,5
Waw,5
Bagus,5
Bagus,5
Yg bikin mobile legend yatim piatu,1
Bagus kan lagi game nya,5
"Untung review patch kali ini banyak kekurangannya (-) : 1. Sinyal / ping yg tidak stabil serta frame yg terjadi seketika 2. Pertemuan matchmaking antar player tidak memenuhi kriteria, ex : mythic 15 sering bertemu dengan mythic immortal sehingga menyulitkan player yang bermain 3. Banyak pemain joki akun, gb mmr yang bertebaran pada waktu tertentu, sehingga dapat menyebabkan team lemah 4. Pertemuan matchmaking antar 5vs5 a.k.a team yang tidak adil yang berimbas pada permainan lebih lanjut",1
Mantap,5
game terbaik,5
Saya menyukai game ini,5
Game yang seru,5
Saya ingin dapat diamond gratis,5
Yes got,5
Mudah di mainkan dan menantang,5
Okelah,5
Kayak Game RPG W suka,5
"Woy kck tolong di perbaiki lah masa ngasi musuh yang tidak sepantaran trs, gua udh kalah 15 kali ini gimn si...",1
Godd kereenn mantap,4
Mantab b,5
Kenapa pas login gak bisa masuk masuk udah di tungguin 1 jam loading nya lama di lobby aduhh,1
kelass,5
Game paling ampas yg pernah aku kenal seumur hidup. Ku sumpahin game ini bangkrut aja dalam waktu cepat. Gara2 game ini gua jadi frustasi.,1
Mantap,5
Leg bang,1
Game tqi,5
👍,4
"untuk performa skrng udah oke jrng lag2 lgi, tpi ko knp bisa saya ketemu musuh yg mabar, pdahal saya player solo",5
Busuk,1
Bagus,5
Waktu matinya kelamaan,1
oke,5
Keren,5
bagus,5
Mantap,4
Jospar 👍,3
Lag terus,4
Nice,5
Game bikin emosi lagi wars sinyal merah goblog asuu,1
👎,1
moonton ngentod kasih tim itu yg ngotak dikit binatang apa kalah sekali menang sekali gada untung moonton ngentod emang game burik cuihhhhhhhhj,1
Okerrr,5
sangat,4
"Monton asuuuu, kawan sma lawan gk sesuai , dklahn trus",1
Hampir balance...meski lag masih merajalela,4
Gak asik promo diamond nya ganti mekanisme,2
Good gamessd,5
Tolong permudah top up rupiah,5
"Dark System , player lama d gabung ama yg baru bisa main. ktmu lawan yg skill mempuni. kocak. baik un install. seperti kata popol kuppa. menggendong 4 org bodoh memang sgatlah sulit. bye moonton as**",1
Gift me money please help.,5
🌏,4
👍🏻p Gg,5
bagus,5
Kasih tim yg bener lah,3
Mantap,5
Tolong diperbaiki masalah sinyal,4
Game nya bagus kenapa Vale belum muncul padahal di duluan yg muncul Vale kayanya udah di lupain sama moonton,5
"Matchmaking pisah berdasarkan game play, jgn semua di campur. Org yg bodoh jdin 1 tim sama yg bodoh jg. Cara taunya player itu bodoh gmn?liat dari history. Ini yg bodoh di satuin sama yg bisa main, lah solo player yg bisa main ketemu player bodoh migren!",1
Lebih baik lu uninstall game cacat ini ngabisin kuota lu aja selalu di pasangain amatim tolol nyesel lu pasti..,1
Game ampassss.,1
Tolong balikin akun gua,5
mantap,5
Yg nenek kasih tim ya lah muntun,2
Capek mainnya,1
Gk adil,1
Montoon thollolll ribuan pertandingan di satuin ama yang baru puluhan cara setting team aneh goblookk,1
Good,5
Game goblokkkkk,1
Gg gaming,5
game moba terbaik,5
Game yang bagus untuk menghilangkan stres🤣,5
"game buruk game play tidak seimbang game buang"" waktu sangat sampah",1
"MSih legend dikasih musuh glory, Tolonglah ngelek kli",1
Good games,5
Gas gas gas asal gk ketemu bott asal maen,5
Ok,4
Lanjutttt ok,5
Op,5
"Gk bisa di upadate ngbisin kouta aja.... Untuk magic chese tolong lah beri yg bner hero"" nyaa",3
Ok,5
Goog,5
"Tolong min jangan kasih troll tiap hari,capek gua main tiap hari gak ada menangnya",1
GAME TOLOL,1
Trus tingkatkan,4
Lumayan,3
Saya sudah tidak memainkan game ini lagi,5
bagus,5
Lumayan,4
Nicee,5
Good,5
Sukses,5
"moonton bercanda kan? masa iya top up diamond ga masuk2 pas di cek pembayaran nya tertunda, katanya error, dan lain sebagainya.. padahal mah dibayar udah, udah log out dari game nya juga ga masuk2.. ditunggu sejam juga sama.. atau emang saya nya aja yg ga berpengalaman top up ya?",3
Bagus,5
Permainan ini seru tapi ketemu tim yang gak guna tolong gw di kasi menang,1
game good,5
Ribet,3
"Ni game udh popular tolong perhatikan para cheater meresahkan, kita mau main buat adu skill bukan adu cheat ya, tolong kasih pencegahan sistem untuk semua jenis cheat, seperti no cooldown, hp aneh, damage aneh, jaringan lag tiba"", reconnect tiba"". Tolong ni ya moonton, eventt",5
keren,5
ok untuk saat ini,5
Sippp,5
Game yg tidak membuat jenuh SMA sekali,5
🙏,5
Mantap,5
Nice,5
Mantap,5
Top,4
"LoL, timnya lol semua",2
Saya harap jaringan lebih di utamakan dulu bos,4
Nice game,5
Mantepmama,5
godgame,5
Saya suka game mlbb,5
Cukup memuaskan,5
Game seru,5
Maen rank awal aja susah gmn sih sistemnya? Jelek banget sistem matchmaking nya kayak nya yang buat orang nya dongo yak?,1
Ok,5
"Tolong jaringan d perbaiki,,sering lag d waktu war,,kecewa 2 bintang ku kasih",2
Game rusak lostrek. Mulu. Musuh pro temen bot.pas mau naik honor turun legen mau naik mitik urun apasih monton gk jelas banget,1
Makin kesini makin ribet bayak update ya coba tolong rendah kan bagai mana yang ram 3 bagai mana mau rame,1
"Gak ada fair2 nya, matchmaking udah kaya judi",1
Game bikin pening punya oi semua harus kompak kalau gak bisa kalah gu bolak balik epik gara gara kalah tolong kasih tim pro musuh beban lah biar bisa milik,1
Game t@i !!!,1
"Monton ajng,orang gak afk kena hukum pas orng laporin afk, lain kali di bnerin ajng, bikin ksel aja bngst",1
Top,5
ok,5
Keren,5
Ga jelas bgt nih game metch meking yg g seimbang truus berlanjut ga cukup 5-6 pertandingan ga jelas² udh 9x tetep aja metch meking nya g seimbang,1
"Saya suka tapi mau ngelek juga,tapi gak pa,yg penting seru.",5
Good,5
Gem lambat rusak,5
Ok banget sangat mulus game'yang 🎮🥰😚,5
Game Ini Sudah Cukup Bagus Tapi Tolong Perbaiki Bug Dimana Bot Pada Mode Practice Tidak Mau Menyerang Dan Berjalan Ke Arah Yang Sembarangan,3
Mantap,5
Kalau maunaik ke metik dapat tim yang gak tau main tolong lah monton kasia kami capek mainya,1
Kerenn,5
Game nya mantap cuman sering dapet tim beban,5
Ok,5
Seru,5
Llu,5
Hebattttttt Okkk,5
Ok,5
Padahal ini game faforit gua banget bang game lu kan udah rame lu jangan makin gak ngotak lah malah makin luh gedein data nya gua yakin makin ke depan nanti gak bakal ada yang main game lu lg gara gara ml ni lu update udh 1 hp gua mati karna berat kecilin napa bang fens lu banyak yang pakek hp kentang mikir lah kalo dah besar jangan badan aja besar otak kecil emosi gua demi game lu ni hp yang gua cari hasil banting tulang hancur karna game lu gua pemain lama loh di game lu jadi mikir,1
baik,5
Sangat bagus sepscial,5
Untuk magic chess ny tolong di perhatikan,1
game asu,5
Nice,5
mantap,5
"Sulit untuk login,coba di perbaiki lagi",4
Ok,5
Game sialan!!! Padahal jaringan saya lancar lancar saja tapi mengapa pas main malah ping merah Mulu udah saya coba login ulang tetep merah padahal paketan data saya masih banyak & jaringan saya bagus buat buka semua apk di hp saya Kecuali ml ini!!,1
bagus,5
Ratingnya smkin buruk. Game nya jga ga jelas yg ribuan match satu tim sma yang bru puluhan. Kebanyakan di gabung sma yg ga bisa main. Delet aja ngabisin waktu burik,1
Saya sangat menyukai game in,5
Sangat menemani dan seru bnget dengan game yg bisa bermain dengan kawan kawan kita,5
kasih gua tim yg bener Napa,3
good game,5
Mantap,5
Creative sekali bikin merinding d.an banyak menguras emosi,5
no comment,5
Ga adil,1
semoga lebih baik,5
Nice,5
Good game,5
Good,5
Herro baru terus yang d urusin.. Coba Liat dulu dong jaringannya ..gw dah pake 4G tetap LAG ..ganti ke WI-FI indi sama aja gak ada probahan.. Maunya pake jaringan apa nih... Tolong di perhatikan...,3
"rata² yg komen, kena dark sistem semua wkwkwkwk",5
Bagus,3
Good,5
Game bagus keren,5
asyik,5
kalo sinyal lg buruk tolong jgn di kurangin kredit skor krn kami jg ga mau afk klo sinyal lg bagus...cermati lagi! lag kesalahan dr mlbb tp kami yg kena sanksi? kalo mau hukum player liat kesalahannya dimana siapa yg mulai duluan lakukan kesalahan jangan asal hukum aja. cek videonya salah siapa duluan w main sesuai lane malah di salahin DI PAKSA AFK AKIBAT GA ADA SINYAL DAN MAU LOGIN ULANG LAMA MASUKNYA!!! SUCK....,1
Nicee,5
aplikasinya masih gampang di hacker... proteksinya kurang bagus,1
Ok,5
Game favorit,5
"Moonton tolong bantu saya, Saya gak bisa top up dari apk nya langsung Gimana itu",5
Nice,5
sejak update terbaru sistem jaringanya jadi lebih buruk,1
Mobile legends jual main togel,5
Men 10 kali masa ya kalah terus gx pernah emang moton kintil hpus ajah lah gem ya... Udh jelek,1
Cocok buat anak muda,5
Tolong nonton ini mic di mobilegends Ku eror!!!!,4
Ok,5
Good,5
mantap toxic,5
Luar biasa keren,5
"Moonton yang sangat baik, Banyak Sekali Player solo yang terkendala Matchmaking yang sangat buruk, Saya Sarankan supaya pihak moonton perbaiki Matchmaking dengan level yang setara, Jika Saya Mantan glory star 50 Temukan juga Tim sayaa dengan mantan glory juga, jangan temukan saya dengan orang² yang Rank tertingginya cuma honor bahkan Cuma sampe star 10 - 20,Saya Sangat kecewa sekali dengan matchmaking mobile legends ini, Segera lah perbaiki Dan Temukan Saya dengan Orang Yang lebih Hebat. Thanks",2
Good kslii,5
"Pisahin lah moontod tim bener sama tim yang tolol suka troll,"" yg tolol sama yg tolol"", Kan kasian yang maen bener.mikir tolool",5
"Dri 2018 ga bosen main game nya, good luck moonton",5
👍,5
Ini peringatan untuk teman2 yang sampe skarang main game ini game ini setiap kemenangan sudah di atur oleh pihak MLBB jadi di himbau untuk stop main game ini karna selama ini kita hanyalah di bodoh2hi. Jadi intinya game ini setiap kemenangan selalu di atur oleh pihak game ini. Jadi STOP main MLBB😡😡😡 untuk para orang tua mohon untuk jangan meperiyakan anak nya main game ini karna sangat berpengaruh pada 👧🙎‍♂️ jadi ini jadi peringatan pada pihak MLBB / dan juga untuk pihak PLAYSTORE Hapus aja,1
Game yang aku mainkan paling lama dari season 2 dan sampai sekarang,5
Ok lahh,5
Baik,5
Mantap,5
Ok,4
nice,5
Ok okeoke,5
bolee la ml yang sekarang,5
Mengibur,5
Game keren,5
Musuh nya gk ngotak su gua renk epik di kasih muhun mantan glori,1
Sangat puas,5
good joob moonton,5
Keren,5
"Saya pake hp samsung A02 Seson 27 gak ada kendala ngeleg saat push rank mau main pagi,siang,malam oke2 aja Sejak ada sistem baru seson 28,29 sampai sekarang,saya jarang main karna ngelek saat push rank kalu masi berlanjut mau saya hapus ini game mlbb...saya kasi 5 bintang biar di respon ya",5
Biarkan,4
enjoy the game,5
Ok,5
"Game paling asik dan seru!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!++!!!!!^!!!!!!?!,!!!!!""!!!!!!!!!!sushjs",5
"Game apaan in i gak adil sama sekali musuh udah tinggi "" tim gua masih epik pdhl gua legend Lo sama sinyal plis lah masa pas war doang leg ama pas lord tartel",1
Ml semakin di update semakin gak jelas dapat team kayak computers dan musuh jauh lebih unggul tolong perbaiki ya moonton c**,1
B aja sih,4
Mantap,5
Ok,5
Bagus,5
Ok,2
Ok,4
Kenapa pas do updet gak bisa full screenn Vidio loading,1
Good,5
"Mending UNINSTAL, mending cari game moba laen,",1
"Masih banyak pemain yh afk....perlu byk perbaikan, cheatter tolong dong di musnahkan",3
Ya sya sangat suka,5
bagus,5
"tolong soal jaringan jangn terlalu sensitif monton tayi, sinyal ilang satu baris doang legnya naudzubilah cwih",1
Terlalu sering update jadi malas main nya,5
Udah player toxik plagiat lagi,1
Oke...,5
Menarik,5
"Draft pick ga jelas,masa honnor ribuan match wr 79% gabung sama mitik badak match masih ratusan emblem masih kentang,ga pernah dapet tim yg bagus dari moonton,gimana gamenya mau maju",1
👍,5
Good,5
gue gabisa move on dri game ini minnnnnnn,5
Bikin kesel no1,5
"woy moonton, jaringan bagus knp pingnya merah terus??? pake pubgm lancar malah jelek maen game ini",3
Guud,5
"Tolong diperbaiki lagi terkadang ada teman yg bermain dengan buruk dan itu disengaja terkadang pula teman tersebut berkata kasar, jdi sya yg seharusnya semangat untuk memenangkan pertandingan jadi merasa sia"" Untuk menang",1
"mantap,kerja bagus",5
Bermainlah secukupnya kawan,5
"Gk usah donwload geme ini klo gk mau pusing, main geme buat menghibur malah bikin pusing di kasih tim gk jls trs...",1
Mayan,5
Seru,5
mana hadiahnya wkwkwk,5
Kalo ngasi tim tu yg ngitak lah bro,3
Ranting,1
Jos semenjak ada magic chess!!,5
Game nya seru cuman bug dark sistem nya di perbaiki saya selalu dapat team yang beban,4
ok,5
keren,3
Minimal jngan beban klen publik bngsd,3
Makin mantap dahhh,5
Mantap,4
Game rusak. Lagi enak war bisa pulak jaringan kalian tinggikan pinggnya! Pembagian team gak seimbang! Bisa² di mobile legend ada bot...,1
Edan,5
Gg sih,5
Good,5
Slalu lostrek karena dapet tim bot trus,1
losstreak terus ngk kek dulu lagi,1
Baik,5
ntap,5
Pli,4
"Tolonglah moonton, benerin sistem matchmaking nya biar seimbang, yakali ketemu mabar duo atau trio yang mainnya kaya tier legend atau epic, gua kan mainnya di mythical glory, yakali dikasih timnya yang kaya gitu, musuhnya biasa aja padahal, setara sama skill di tim gua juga, cuma tim gua kagak bener mainnya, itulah yang bikin losetreak mulu. Jadi tolong moonton benerin dark sistem lu ini",1
"MAAF ya monton gua marah² di sini😁 Sory ya kasi bintang 1 soal nya geme ini buat orang setres aja,masa gua legend ketemu ama epick gak jelas gak jelas aneh dah yang punya geme kayanya gak punya hati dah gua download ml buat ngilangin setres ini malah nambah heran gua,sory juga gu uninstal ni geme,gua mau pemsi soal nya makin hari makin gak jelas ni geme ada yang buta map lah ada yang gak bisa main lah",1
MAINYA HEBAT,5
"Tinggal beli hp yang memadai, soalnya kapasitas ML sekarang gede baanget",5
Kasih musuh yang keras dikit lh monton,5
2x pertandingan invalid...dan yang terakhir pertandingan belum masuk ke arena battle nunggi sampek 3/4 menit mlh g masuk masuk aku relog malah bintang udah kurng...cari bintang susah woi kalo g bisa brantas cheat g usah buat aplikasi game....3x dh pernah gini....bukti foto akan aku kirimin kalo para GM g percaya...dah tiap game kadang dapet temen g kompak dll menang sekali kalah sekali dah dpet tim enak pertandingan g valid...kena cheat lah apa lah..muak ku kira dah g ada cheat menfing main PUBG,3
Mantappp,5
Sangat bagus,5
Ml jaya jaya jaya,5
Smoga kedepannya lebih baik dan OJO LALI DI AKEH I SKIN SING GRATIS LAH 🤣 oke,4
Nice,4
Muntun babi ngasih tim ngak ngotak tolol nya muntun babi,1
kalo ngajak ngobrol di Indonesia dengan orang tua gua di dalam tubuh dan perambahan cagar biosfer,5
"Tolong buat monton kalo kasih teman yang berguna,,dan tidak menyusah kan..selain itu udah beban ga guna lagi",2
Game jelek,1
Bagus,5
Sangat puas .,5
Wow,5
Moonton BABI,1
Banyak darg sistem muntud,1
Good,4
Game lawak orang ngomong dah bagus malah i mute lawak banget nih game 😤😤😤😤,1
ton monton..knp gampang ngelag...payah..bisa bnyak yg pindah game lain nanti.......,3
Bagus,5
tiada yg sempurna di dunia,4
Koneksi tidak stabil.. Apalagi pas war. Mendadak hilang jaringan. Padahal main game online lain bagus bagus aja. Makin kesini makin aneh ML. Ping naik turun gak jelas. Padahal koneksi nya bagus 4G poll. Tpi knapa wktu main jd berat. Kecewa,5
Balikin Mode Survival woii,5
Woi kalok bikin game tekiti lah masi ada bug cooox sama paketan gw masi banyak sinyal tiba² merah coox sinyak nya 285 mulu cooooo,2
Kuntul,1
Game rusak tiap match selalu aja dark system losetreak sampe 11 kali! Hapus download main tetap aja kena stress lama2 tolong di optimalkan lh.,1
game t41k,1
Nunguin map evolped sampe kiamat,3
Good,5
Di tingkatkan lagi untuk kenyamanannya,5
gooddd,5
Ok,4
Buruk sekali untuk update magic chess nya.. saya juara 1/MVP nilai dr 134 legend 1 jadi 14 ? Apa maksudnya,5
👍,5
GAME GA SPORTIV,1
Tolong monton kalou gue main di reng evik tuh yang sesuay dong musuh yah ko gue main mulu winsetrik divit mulu lawan yah juga mantan mitik mulu tolong lah monton,1
Update malah ga bisa ganti ke akun lain,3
"game tolol rank tinggi di kasi tim rank receh, mana jaringan bagus di game merah blok",5
Nice good sebagai hiburan kesenggangan.,5
Kerenvv,5
tolong dong monton. kenapa gue kalo main pasti ketemunya yang tim nob padahal menang baru 2 x terus abis gitu kalah nya dratis lagi. kapan gua ke legend kalo gua di kasih tim ke bot. tolong di perbarui monton nya atau harus adil. jangan adain skin atau hero dulu. fokus di tim atau server nya dan sinyal nya kadang lag parah.,5
Maju terus,5
Fokus sama sistem rekrut rank blok skin mulu,1
Tambah update tambah rusak sinyalnya.sering lag parah....,5
Semoga kedepannya lebih bagus lagi,4
Saad gua kalah mulu ajim Kasih musuh ama tim yang fer adil gitu saaad,1
"woy gua maen dri s1 gada dapat apresiasi apa kek border blink2 kek skin legend kek, capek gua capek mau pensi",1
Bagus,5
Oke,5
Game dari dulu ampe sekarang masih asik seru Dan makin bnyk pengemar game ini skrng.,5
Nokomen om om moonton,5
paypay,4
Zuzu😍😍😍🤭🤭,5
game yang sangat santai,5
Sangat menangtang,5
Ok,5
Bagus,5
Game sangat bagus,5
Sagat bagus,5
Ok,5
"Kenapa sering lag padahal jaringan bagus, saya pakai data seluler 5G + wifi 5G juga.",1
Ml babi,5
Sntappppp,5
Yg sedang sedang sj lah,3
Game yg sangat bagus,5
Good game,5
masok,5
Ok,5
Asyik,5
Bagus,5
Terlalu sering lag game Klaw jringan nya dah ok saya tambah bintang,5
sangat keren,5
Lumayan,5
Gem nya sangat bagus👍,5
nice,5
"Baru abis update Tiba"" updat lagi.. Game Setan.. 🤬🤬",3
Bagus bener,5
Keren,5
Nolan assassin Hero babi terlalu over power,1
Okey,4
Sangat bgs,5
nice,5
Halo Dark system,1
Makin sulit,5
MLBB g seindah seperti dulu...terlalu banyak jasa bang joki yg bawa player tolol ke tier tinggi dan matching ini game juga udah semakin g beres.thanks 5tahunnya dah nemanin,1
Bagus,5
"Saya suka game ini, setiap hari saya mainkan",4
Bintang 4 dulu deh karena masih sering ngelag tolong perbaiki mode magic chees biar gk ngeleg,4
Keren,5
"Ga ush di download sistem nya ga ada yang jelas dari tadi main lose streak, team ga jelas capek MVP kalah",1
Well played,5
Game moba,5
"Beratt bangett skrng main ml, pdhl ram 4",1
Hero lemah makin di nerf hero kuat di buff heran gw,1
Nice,4
Game terbaik sepanjang masa,4
"Game konci di kasih tim bot pertandingan masih puluhan minim 100 maksimal 1000 pertandingan gw di atas 1000 di kasih tim pertandingan puluhan gendeng a gw lostreak udh 6x bela belain buat tidur malem² buat push rank gw yg masih epic pas main kalah teross, musuhnya kayak mithyc tim gw warior game setresss, pantes aja kebanyakan ratingnya 1 wkwk, ""Kami bertekad untuk menciptakan permainan yang adil untuk setiap pemain"" HOAX, udh kecewa berat sma moonton 👎👎👎",1
Bagus dan enak untuk di mainkan,5
"UPDATE TERUSSS,,,,SAMPE MAMPUSS,,,HP KENTANG DILARANG MAIN GAME INI,,,SOMPREETTT..",1
Saya sangat suka main ini sampai saya stress lose streak🤣,5
Woi Montoon Lu Sok Asik Gua Lagi Main Game Malah Iklan Mana Iklannya Lama Lagi 😠😡,1
Bagus walaupun maen k temu bocah mlu,5
Luar biasa,5
Dark sistem Anj parah ni game ngasih kawan dark sistem,1
Gem rusak kasih tim yg gk adil tim tolol musub jago gk adil asu cpe gw udh ls bnyak stres aasu yg adil ngapa kasih tim,1
Bagus,5
👍👍,5
Mantap,5
lumayan lah,5
game toxic,5
"Good job,yg penting jgn lupa Sholat habis sholat main games lagi gpp",5
Game yang sangat membuat kita gila,3
Game baguss,5
Nice,5
Game paling pentingin player baru saja,1
Kok patch 1.8.30 tambah lag 🥺,1
Tolong perbaiki dikit masalah sinyal nya... jadi kalau hidup jelek sinyal nya tapi kalau mati bagus... jadi tolong lah perbaiki masalah sinyal padahal aku pake wifi sendiri juga tetap lag nya..... masalah game bagus,5
gurih,5
Monton tolong dong Adain fitur download gameply replay fullnya biar gausah repot repot lagi nonton replay buat ngedit Vidio,5
Terlalu berat banyak update terbaru,3
Sudah bagus skrg👍,5
Game yg bgs,5
Dark sistem nya moonton tolong hapus lah jadi kesel mainnya dapet tim gak seimbang mootooooooon tolong hapus dar sistem oke trimakasih segitu doang tolong ya monton.......moonton tele dark sistemnya hapus ubek acong monton ne,1
"Developer nyabu matching ampas game pay to win, gb bertebaran menandakan ke idiotan si developer yang tolol mathing ampas pol",1
Game jelek ping sering berubah ubah sangat menggangu,1
Mantap,5
Kekuatan sinyal diperburuk,5
Kenapa ping nya merah pas di kasih tau satu tim kok malah ijo,4
Sangat seruuu,5
"Game kakean polah,,seng bermasal game e,seng di ban player e..(aneh) Ra sumbot karo datane seng sampek 8 gb...",1
Mantap,5
Sangat menyenangkn,5
tolong mode ofline ny di permudah,5
"Woy ml yang bener sih kalo kasih hukuman jangan asal masa sinyal aku ngelag kamu malah ban aku kamu deteksi yang benar dong,ga terima aku.mana kasih tim yang ga kompak mulu gimana mau menang Mobile legends tolong ya udah tau sinyal di HP saya ngelag tapi alasan afk ga diterima tolong dibenerin fiturnya itu sangat mengganggu saya sebagai player ml",2
Wowww,5
Moba terbaik,5
Mantul,5
Baik,5
Game yang menyenangkan,5
bagus gamenya,5
Mantap,2
